色選択,イン点,アウト点,スピーカーネーム,スピーカーAの文字起こし,スピーカーBの文字起こし,AやB以外
,00:07:31:00,00:08:18:11,伊藤2,何らかの理由があって地元に来た人たちは 母校への愛みたいなものは基本ないわけですよね そこで生まれ育ってないからこそない そうするとどうなるかというと 地元の人が学校を残したいという意見を ある種心の部分で言ってくださる 他方で移住してきた人というのは ちょっと客観的に引いたところで、でも子どもたちのことを考えたらこっちがいいですよね、みたいなことを言えるっていう、 その最近移住してきた方だったりとか、地元に戻ってきたような人たちのその視点って、 すごくこれからの地域の社会とかみんなで考えていく上で、 こっちもなきゃダメだなっていうのをすごく強く感じるんですね。 地元の人の思いもなきゃダメ。 でも同時に一回離れた、もしくはまさに外から来たような人の意見も大事で、 そこがうまく組み合わさるというか、重なり合っていく地域というのは、,,
,00:08:18:13,00:08:41:14,伊藤2,何かうまく議論が進んだりとか、みんなでもうちょっとポジティブな形で未来のことが考えられたりするんじゃないのかな、 これは移動も本当そうなんですよね、移動話でいうと。 最近東京でもありますよね、道路が陥没したとかですね、水道管が破裂したみたいな、 まさに人の移動とか水の移動も、あれもやっぱり明らかに耐久年数が来ていて、維持のタイミングが来ていますと。,,
,00:08:41:16,00:08:47:11,伊藤2,ただなかなか維持するためにお金がかかるというので,,
,00:08:47:13,00:08:58:02,伊藤2,具体的な話だと岩手県の八幡町というところがあるんです 森岡の近くなんですけど 八幡町が15年から20年くらい前にちょっと先駆けてやった面白い取り組みが とにかく水道管の維持絶対今後問題になりますと,,
,00:08:58:04,00:09:08:12,伊藤2,とにかく水道管の維持絶対今後問題になりますと なのでこれについて住民とか市民みんなで勉強する機会を作りましょうと 具体的にどうするかって,,
,00:09:08:14,00:09:11:14,伊藤2,例えばみんなで浄水場の見学に行ったりするんですね 毎年ランダムに人を集めて見学行ったりすると,,
,00:09:11:16,00:09:20:06,伊藤2,毎年ランダムに人を集めて見学行ったりすると そういうことの中で じゃあこれみんなで決めましょうと 確かに水道化維持していくためにはお金が必要 ただ人口減っていくので,,
,00:09:20:07,00:09:24:18,伊藤2,ただ人口減っていくので やるとしたらそこの補修にかかるお金を,,
,00:09:24:20,00:09:43:02,伊藤2,住民からちょっとプラスアルファをもらうしかないわけですよね そのことをどうするかって議論をしていくときに 一般的に考えると 多分住民の方否定しそうというか 負担したくないし嫌だっていう気がするんですけど 八幡町の場合はかなりそういった水道について学ぶ 水について知る歴史もそうですよね,,
,00:09:43:04,00:10:14:13,伊藤2,水について知る歴史もそうですよね 自然もやっていった結果として 市民が主体的にそこで 例えば何年間で何パーセント水道の維持にかかる部分の負担を上げる 同意しますというかそうした方がいいですよねという決断をしたんです 結果的にそこ専門方の方も入って 八幡町って全国にも先駆けて 水道等の維持にかかる費用を市民からプラスアルファで集める そのことによって未来に課題を先送りしないということを行ってたんですよね ここ数年,,
,00:10:14:13,00:10:31:14,伊藤2,ここ数年 それでまさに最近埼玉の方だったりも ああいうことがあった時にすごくまたその事例が注目を集めていて やっぱそういう未来について考えるとか そもそも私たちが飲んでいる水ってどこから来ているのかとか 電気ってどこから来ているのかとか 下水道どうなっているのかって,,
,00:10:31:16,00:10:45:08,伊藤2,下水道どうなっているのかって もっと知らなきゃいけないしもっとみんなで考えなきゃいけないよな これ本当に広く見るとまさに移動の話で地域の話だなって思うんですよね もう1時間あっという間に経ってしまいましたので,,
,00:10:45:10,00:10:57:20,D2,,,ちょっと話を。
,00:10:57:22,00:11:09:17,伊藤2,向こう側に行くと日が当たる感じなんですかね はい 了解です どうでしたか たっぷりレジュメを紹介できたのが いやいやいや,,
,00:11:09:19,00:11:10:14,D2,,,いやいやいやいや。
,00:11:10:20,00:11:16:10,伊藤2,全然あんまりレジュメ関係なくという感じで 進んではいるんですけど それが良さだと思います,,
,00:11:16:12,00:11:25:09,船曳2,,その話を考えてとしますか。,
,00:11:25:11,00:11:26:01,伊藤2,了解です,,
,00:11:26:03,00:11:45:15,船曳2,,考える話し合う場というのが持てるかどうか または話し合う時の言葉があるかどうかというのがすごく大きくて 500年も続いたお祭りに関してだと その全部役職が決まったりしている,
,00:11:45:17,00:11:50:13,船曳2,,それからかつて一度人口が減った時に,
,00:11:50:15,00:11:53:10,船曳2,,それからかつて一度人口が減った時に,
,00:11:53:12,00:12:16:09,船曳2,,無雇用紙をとって続いていたという時期があったせいか 話していると実はもう神社の重要な役をやったり そこを生まれの人かと思ったらそうではなくて 私は外から来た人なんだけどっていう一言入れるのを,
,00:12:16:11,00:12:21:04,船曳2,,私は外から来た人なんだけどっていう一言入れるのを 一言入ってくる,
,00:12:21:06,00:12:24:02,伊藤2,っていう人が一言入ってくるんですねそこに,,
,00:12:24:04,00:12:41:13,船曳2,,つまり完全に発言する権利は私はないと意識しながら でもそういう人がご在問とか何か言う話になって 自分はフルにそのことについて発言して何かを変えられる権利があると感じていない,
,00:12:41:15,00:12:47:12,船曳2,,自分はフルにそのことについて発言して何かを変えられる権利があると感じていない それアマルチア戦のなんだか,
,00:12:47:14,00:12:52:03,船曳2,,あれみたいな感じなんだけど,
,00:12:52:05,00:13:06:17,船曳2,,一体誰がどこでその話ができるのかっていうのがすごい難しくて そうなんだと思って すごく明るくある こちら あ、あ、あ,
,00:13:06:19,00:13:17:16,伊藤2,すごく明るくあったかいところに こちらどうぞ もしよければ暖房近いところに どうぞどうぞ、竹引さん はい,,
,00:13:17:18,00:13:25:07,船曳2,,あったかいですね 何かすべき話,
,00:13:25:09,00:13:38:12,船曳2,,もうだいぶこれだかもありますし そんなにこの話は絶対にないんじゃないんですけど ちょっと欲しいのは東京駅のそばで喋っているので,
,00:13:38:14,00:13:45:10,伊藤2,確かに確かに 今明るいところに来ましたけど なんとなく見えるものについて話しております,,
,00:13:45:12,00:13:47:23,D2,,,いい。
,00:13:48:01,00:13:50:16,伊藤2,ぜひぜひ 今の話をちょっと終えたら,,
,00:13:50:18,00:13:56:05,船曳2,,今の話ちょっと終えちゃうと、僕は今銀座の外れに事務所があって、そこの町内会に入ってるんですよ。,
,00:13:56:07,00:14:01:19,船曳2,,そうなんです。それは大学の…,
,00:14:01:21,00:14:06:01,伊藤2,そうなんです それは大学の 大学辞めて,,
,00:14:06:03,00:14:06:19,船曳2,,辞めて。,
,00:14:06:21,00:14:08:11,伊藤2,辞めた後にご自身で事務所を作られて,,
,00:14:08:13,00:14:13:23,船曳2,,そうです。歌舞伎が好きなんで、歌舞伎座の横に事務所をあれして、そうするとそこの町内会っていうのがあって、,
,00:14:14:00,00:14:38:08,船曳2,,そこの祭りは具体的に言うと3年に1回本祭りというのがあって あとの2回は普通というか本祭りではないという それを500年続けていた黒川の人に行ったら 怒るかなと思ったの そうでもないの それぐらいはもうみんな切羽詰まっている この4月に実はそこの有力な下座の太陽というのに,
,00:14:38:10,00:14:47:20,船曳2,,この4月に実はそこの有力な下座の太陽というのに その話をしに行こうと今計画していて もうすぐですね,
,00:14:47:22,00:15:19:07,船曳2,,みんなが全地域全部で考えましょうというプラットフォーム そういうのを作るのは最初は難しいの それはもう室町から続いているあれですから でもそのきっかけとして少しラディカルなことを言うかなと思っていて 中にはお祭りの会社を作ったらいいんじゃないかっていうのがあって 各家が担当するんじゃなくてね もうすでに会社が一つあって 祭りは大体そこが役割は一人一人がするけれども,
,00:15:19:09,00:15:40:23,船曳2,,祭りは大体そこが役割は一人一人がするけれども 運営その他は会社組織を作っておいたらいいんじゃないかっていうところまで みんな切羽詰まってる 切羽詰まってるんだけれども この人口の蒸発の仕方はすごいですね っていうところでひとまず はい、ひとまずですね はい、そうですよね お金をぜひぜひその辺の話も,
,00:15:41:05,00:15:45:13,伊藤2,はい、ですよね。 ぜひ、ぜひ、この辺の話も。,,
,00:15:45:15,00:15:56:22,伊藤2,いいですよね。 逆に、私からずっと話を振ってみたいな構図ではあるので、あれですし、ここで。 ここよく残りましたよね,,
,00:15:57:00,00:16:02:22,船曳2,,いやほんとすぐに 残った?残った?,
,00:16:03:00,00:16:17:11,船曳2,,つまり東京駅から皇居までのところを低くして風を通すようにしてっていう 珍しく東京で都市計画というのが わかりますよ,
,00:16:17:13,00:16:30:09,伊藤2,わかりますよ 都市計画って基本的に移動というのはあるし都市計画に依存するところってかなりあるので そこは密接に結びついてますし かなり移動ってそういった意味ではまさに政治的で経済的で社会的なものだと思うので,,
,00:16:30:11,00:16:31:16,船曳2,,的。,
,00:16:31:18,00:16:40:11,伊藤2,それは本当東京駅は私もですし 特にうちでいうと私の妻がすごいこの辺りが好きで,,
,00:16:40:13,00:16:51:12,伊藤2,何が好きっていうわけではないんですけど この空気感が好きっていうので すごい個人的な話なんですけど ちょうど私1年ぐらい前に結婚したんですね 結婚してありがとうございます,,
,00:16:51:14,00:17:26:13,伊藤2,結婚式とかウェディングフォトっていうんですかね 結婚写真撮らなきゃいけないねって言いながら ずるずる今日まで来ているんですね 来てるんですけど まだなんか実は妻がそこが好きってのもあって まだ確定ではないんですけど 今東京駅の前でウェディングフォトを撮るっていうのは 一個流行ってるというか 一個キャッチーなものとして人気で 妻もこれいいねって言ってて なんか最近そんな計画があるっていう すごい個人的な話なんですけど でもそれもやっぱりこの都市計画ありきな気はするんですよね こういうふうに残って,,
,00:17:26:13,00:17:39:20,伊藤2,こういうふうに残って ちょっと具体的に出しちゃうとあれかもしれないですけど 例えば私今出やすい駅って渋谷とかなんですけど 渋谷駅とかでそういうふうに駅がドーンとあって 道が通っていて取れるかっていうと多分無理ですし 新宿池袋みたいな,,
,00:17:39:22,00:17:42:01,伊藤2,新宿池袋みたいな,,
,00:17:42:03,00:17:51:10,船曳2,,渋谷は昔渋谷によく行っていた身としては大学の近くで もうよく老人たちに,
,00:17:51:12,00:17:55:02,船曳2,,同い年老人が渋谷に行けないね 入ったら迷子になっちゃって出てこれないねって言って,
,00:17:55:04,00:17:57:12,船曳2,,入ったら迷子になっちゃって出てこれないねって言って,
,00:17:57:14,00:18:03:18,船曳2,,今途中だからってのはありますけど やっぱりこれはある種の,
,00:18:03:20,00:18:10:07,船曳2,,言葉は変ですが,
,00:18:10:09,00:18:28:00,船曳2,,天皇のその前の江戸幕府の江戸城があって それから皇居になっているので これ手つかずでかなり残っていて 見渡せるわけですよね セントラルパークみたいなニューヨークだったら,
,00:18:28:02,00:18:32:19,伊藤2,セントラルパークみたいなニューヨークだったら、,,
,00:18:32:21,00:18:54:05,船曳2,,まず土地が確保されていて 公共まで風が抜けるように東京駅からあると よくあそこから各国の大使が 信任法廷というのをよく出ますよね,
,00:18:54:07,00:18:54:23,伊藤2,ありますね。,,
,00:18:55:01,00:18:59:10,船曳2,,ここだけ異色ですよね東京の中でね,
,00:18:59:12,00:19:02:11,船曳2,,ここで、そうです。,
,00:19:02:12,00:19:08:01,伊藤2,異色だと思いますね 本当に ウェディングことじゃないですけど,,
,00:19:08:03,00:19:12:02,D2,,,番組の。
,00:19:12:04,00:19:28:14,伊藤2,分かりました ぜひぜひ バックパッカーの話ですが、それこそ時代が違うとか、 10年、30年前ぐらいにバックパックをしていたので、 バラナシで物を積まれたり、,,
,00:19:28:16,00:19:41:07,伊藤2,今、結局、バックパッカー減っているは減っているんだけど、 そうは言っても、 兵役の直前にイスラエルの人がいっぱいいるという、 そうですね,,
,00:19:41:09,00:19:53:01,伊藤2,そうですね そうですね でも時代が全く違うというか 全く同じか全く違う 日記を交換しながら 次の宿に 情報があって,,
,00:19:53:03,00:20:03:14,船曳2,,ああそうそうそうです 時代のバックパックと 今のバックパックはやっぱりSNSが違う,
,00:20:03:16,00:20:11:10,船曳2,,なんか移動と絡めて変化がある それとどんなところか 確かにSNSがオンラインの話って,
,00:20:11:12,00:20:20:18,伊藤2,確かにSNSとかオンラインの話って まさに移動の意味では重要ですよね しかもタキビキさんもあって 若い頃まずインターネットなくて,,
,00:20:20:20,00:20:24:06,伊藤2,90年代に出てきて SNSも出てきて 本当一通りってところですよね,,
,00:20:24:07,00:20:27:21,伊藤2,90年代に出てきて SNSも出てきて 本当一通りってところですよね,,
,00:20:27:23,00:20:32:09,船曳2,,そうですね。,
,00:20:32:11,00:20:53:04,船曳2,,みんな情報であそこ行って髪の毛切ってもらったら気持ちよかったとか それからアラブの中東の人ってこうヒゲ,
,00:20:53:06,00:20:58:01,船曳2,,すごいじゃない綺麗に そのヒゲを剃ってもらったら気持ちいいっていう形で ASMRとかって言ったりするんですよね,
,00:20:58:03,00:21:10:07,伊藤2,ありますね最近ASMRとかって言ったりするんですよね 撮ったりする音声をマイクとか手につけている病院の人が撮っていて そのキットの気持ちよさもあるんですけど,,
,00:21:10:09,00:21:15:12,伊藤2,音とかリズムが気持ちいいみたいなところでもすごいバズっているというか,,
,00:21:15:14,00:21:26:03,船曳2,,そこのまさに事務所の下がそういうお店で たくさん来ています そういう話、例えばゼミとか、私よりもさらにまた一回りした学生なんかとかも話していると,
,00:21:26:05,00:22:13:09,伊藤2,例えばゼミとか 私よりもさらにまた一回り下の学生なんかとかも話していると 例えば東京駅も一個象徴的だと思うんですけど 例えば土日とかに東京駅のホームでパシャッと写真を撮って これからどっか行きますみたいな 例えば空港とか行って飛行場とか写真撮ったりするじゃないですか やっぱりこういうのって昔であれば SNSがない時代とかで言うと いつ誰が自分の友達とか同級生がどこに旅してるかなんて 知らなかったじゃないですか、どこに観光行ってるか知らない。 多分、同じ職場とかでお土産持ってきたら知ってるくらい。 もしくは、1か月とか2か月行っていたら、旅先から手紙を書いてやっと知るくらいだったと思うんですけど、,,
,00:22:13:11,00:22:50:07,伊藤2,今だと、私もそうですけど、今はもう東京では会えないような中学とか高校の同級生ともインスタグラムとかでつながってるわけですよね。 そうすると見たくなくても他の人の非日常的な移動がどんどんと毎日のように流れてくるわけですよね。 これもちろんただ楽しそうだなという思いもありながらも、 やっぱりどこかでこのインスタグラムで見ている私は家にいますと、 もしかしたらベッドの中でゴロゴロしているかもしれないですという時に、 この同級生たちはアメリカに行っているっぽいとか、グラムに行っているっぽいとかですね、,,
,00:22:50:09,00:23:11:23,伊藤2,今日東京からスキーとかスノーボードに行ってるっぽいっていう 基本的にインスタグラムとかで流れてくるのって 日常の布団でゴロゴロしてる風景とかみんな乗せないじゃないですか 非日常的な移動ばかり乗せるので そのことによる焦りとか置いてかれてる感とか 階級に無さすような話ですよね,,
,00:23:12:01,00:23:27:06,伊藤2,やっぱり本来見えなかったところで見えてしまうから生まれる嫉妬感とか 無駄やましさとかもちろんそれがモチベーションになったり 何クソで頑張るっていうこともあると思うんですけど この強制的に他社の移動と私の移動を比べさせられる感じっていうのは,,
,00:23:27:08,00:23:34:14,伊藤2,確かにきついかもしれないなっていうのは この情報環境だからこそ思いますよねそこは,,
,00:23:34:14,00:23:42:17,船曳2,,それこそ今度Facebookをもう一切やめようかなとか思って なんとなく疲れるうざいみたいな,
,00:23:42:19,00:23:46:07,伊藤2,それはなぜ なんとなく,,
,00:23:46:09,00:24:05:20,船曳2,,考えたら別に発信するものはもうないみたいな そういう感じでちょっとそれは遮断しようかなとか オーストラリアだと何歳以下の子はっていうように 自分でSNSを そういうのを何て言うんですかね 就活するんですかね しようかなと思っているところもありますね,
,00:24:05:22,00:24:08:21,船曳2,,本当に人の移動をさることながら 情報の移動ですね,
,00:24:08:23,00:24:14:07,伊藤2,本当に人の移動も去ることながらやっぱり情報の移動ですね 情報とかデータの移動っていうのが本当に加速している,,
,00:24:14:09,00:24:20:18,伊藤2,多分この東京駅という場所も人が移動している以上に みんなリアルタイムでスマホで発信して Wi-Fiで何かデータを取得してという,,
,00:24:20:20,00:24:37:11,伊藤2,Wi-Fiで何かデータを取得してという 何か我々社会学の話に少し結びつけると 従来どちらかというと社会なので まさに2人以上の人間というか 人間たちがそこで集まっていることによって,,
,00:24:37:13,00:25:03:08,伊藤2,何か生まれる営みだったりとか相互行為を研究するというところって 基本強かったそういう学問だと思うんですよね ただ他方でこれだけ情報環境が進んでいって 様々な情報のインフラが整備されていくと 人間の行動ってかなり非人間的なものの移動というか 物流だったりとか情報だったりとか資本だったりとか それによって規定されているんだなということをすごく感じますし 移動に関する研究なんかでもかなり非人間というんですかね,,
,00:25:03:10,00:25:24:19,伊藤2,移動に関する研究なんかでもかなり非人間というんですかね 人間以外のものの移動とか逆に動かない人間以外のもの それこそ駅もそうですよね もっともっと見ていかなきゃいけないよねと そんな潮流があって 私も結構それは一つ同意するところがあって 私たちがさっき絶景っておっしゃってましたけど うちの地元も北アルプスがドンって見えたりするので,,
,00:25:24:21,00:25:35:10,伊藤2,じゃあそういう直接何か会話をするわけではないんだけれども 非人間とのコミュニケーションって一体どうなっていて その中でどう移動が余れていて どう生活が余れているっていうことを,,
,00:25:35:12,00:25:40:05,伊藤2,もしかしたらもうちょっと見ていかなきゃいけないのかもしれないな なんていうことを最近研究的には強く意識しているというか,,
,00:25:40:06,00:25:42:20,伊藤2,思わされるところがありますね,,
,00:25:42:20,00:25:56:23,不明,,,があります。
,00:25:57:01,00:25:59:15,船曳2,,やっぱり椅子が下に繋がっているので,
,00:25:59:17,00:26:04:07,伊藤2,これ多分あれなんですよ 椅子が下つながっているので こういう風に,,
,00:26:04:09,00:26:09:18,船曳2,,じゃあちょっとこれは気にしないので,
,00:26:09:20,00:26:14:15,伊藤2,全然全然大丈夫ですよ ああ、本当ですか。 これももうそろそろ思います。,,
,00:26:14:17,00:26:16:19,船曳2,,来たいなとは思ってたし,
,00:26:16:21,00:26:36:23,伊藤2,ああ、ですね、確かに。 船口さんに聞いてみたいとか、今伊藤さんがSNSでつながって、 移動しているように見えて、つながり続けている。,,
,00:26:37:01,00:26:52:22,D2,,,は。
,00:26:53:00,00:27:01:14,D2,,,そうそう。っていう。
,00:27:01:16,00:27:06:01,D2,,,くらい。
,00:27:06:03,00:27:19:05,D2,,,無いの。
,00:27:19:07,00:28:00:18,船曳2,,常にインスタで今どこにいるかを上げつつ旅行しているという気持ちが よくわからないはっきり言えば やっぱりそれこそ一人になりたいから旅行しているというつもりなのに いつもここにいるよって言いながら旅行している世代なのか それともそういうことと一人でいるってことは 分けて使い分けて今の人は旅行しているのか どうなんですか,
,00:28:00:20,00:28:01:12,船曳2,,どうなんです。,
,00:28:01:12,00:28:13:01,伊藤2,いやーそれでいうと確かにかなり移動の もしかしたら旅と観光でもちょっと違うところってあると思うんですけど 例えば観光的なものでいうと,,
,00:28:13:04,00:28:14:18,船曳2,,すごく。,
,00:28:14:20,00:28:33:02,伊藤2,どこかに見たことがあるものを確認しに行くとか そこで撮ったものを発信するとか そういったちょっとありがちな言葉ですけど 広い意味では承認的な部分は やっぱりそのための移動だったり観光というのは すごく大きい気はするんですよね,,
,00:28:33:04,00:28:53:05,伊藤2,すごく大きい気はするんですよね もう一個旅の方に関して言うと どうなんですかねここに関しては でもやっぱり本当完全な意味での断絶とか一人っていうのは もう無理な気がするんですよね どこかで我々はもう繋がり続けているし,,
,00:28:53:06,00:29:12:00,伊藤2,繋がっている中での一人みたいなことを 改めて考えなきゃいけないんだろうなという気がしますね 私の場合高校ぐらいの時にスマホが出てきたんですけど 多分これまた小学生ぐらいでスマホが出てきた子たちだと またちょっと違う気もするんですよね ここで感覚が,,
,00:29:12:02,00:29:23:20,伊藤2,それってちょっともっと話のスケールなんですけど 精度の内と外みたいな話というか 移動とか旅とか,,
,00:29:23:22,00:29:27:16,伊藤2,可能性としては本当にその可能性を持っていったような気がするんですね,,
,00:29:27:18,00:29:37:03,D2,,,ですものです。
,00:29:37:05,00:29:38:06,船曳2,,今はどうなのかというか,
,00:29:38:08,00:29:48:09,D2,,,可能性ってもう今。
,00:29:48:11,00:29:56:07,D2,,,その辺が。
,00:29:56:09,00:30:01:09,D2,,,同じ。
,00:30:01:11,00:30:10:00,船曳2,,ノマドコンパと名付けて、 あの、新宿駅を出発して赤坂まで歩いて、,
,00:30:10:02,00:30:23:12,船曳2,,いろんなところでお茶飲んだりお酒飲んだりして バラバラになってもう一度そこで出会う 何がノマドかよく分からないんですけれども 30年ぐらい前にノマドコンパとか,
,00:30:23:13,00:30:34:15,船曳2,,私が行ってやったことがありますが それこそ精神分裂症のようにしゃべると,
,00:30:34:17,00:30:41:08,船曳2,,コロナの時に非常に応えました いまだにコロナの後遺症が残っているとか,
,00:30:41:10,00:30:41:23,伊藤2,そうだったんですね,,
,00:30:42:01,00:31:01:15,船曳2,,よく人に言うんですけど なぜか非常に辛かった そのくせってよく若い者に言われるんですけど 先生旅行行きましたよねって言って 確かにコロナの時も無理して パルに行ったりニューヨークに行ったり,
,00:31:01:17,00:31:02:09,伊藤2,を。,,
,00:31:02:11,00:31:04:11,船曳2,,だから20年21年22年,
,00:31:04:13,00:31:06:11,伊藤2,たり。,,
,00:31:06:12,00:31:09:16,船曳2,,外国旅行を欠かさずに行っていて,
,00:31:09:18,00:31:32:23,船曳2,,いくつかの思い出があるんですが 何しろいろんな書類を書かなきゃいけないということが 能力がなくなり 空港のフロアのジュエーターのそこで書類を書いたのを スマホで撮っている自分を何度か思い出して,
,00:31:33:01,00:32:31:10,船曳2,,つまりあらかじめ上手に準備ができないもんだから パリの空港で現地の航空会社の人と一緒に走って どっかの委員に行ってクリニックに行って もう一度フランス語じゃなく英語に書き換えてもらうこととか 笑い話でありながら 制度に日本国という制度にしっかり捕まえられているわけだから そこのところを何とかしなければ 例えば商社の海外駐在員なんていうのは そこを会社としてどうすり抜けるか決まっていて 教わってやってるんでしょうけど 僕みたいなもう何からも少しから離れて 一人であえてあの頃でも海外で旅行しようとしたことによる 精神的負荷の大きさっていうのが,
,00:32:31:10,00:32:42:08,船曳2,,あまりにも強くて その後も今に至るまで残っていて それはやっぱりスマホとかSNSを,
,00:32:42:10,00:32:48:21,船曳2,,それはやっぱりスマホとかSNSを 身体的に自分の中に入れてない,
,00:32:48:23,00:33:00:09,船曳2,,最後の世代の苦しみなんですかね 今のお話聞いても小さいなと思ったのが,
,00:33:00:11,00:33:05:16,伊藤2,今のお話聞いてぜひお聞きしたいなって思ったのが 例えば時計の針をぐーっと巻き戻して,,
,00:33:05:18,00:33:20:14,伊藤2,例えば最初のソ連を通っていく移動の時も これもわからないですけど、かなり東側の国だったり、移動を巡る管理とか統制って強かった気もするんですよね。 それと比べるとって言ったらいいかもしれないですけど。,,
,00:33:20:16,00:33:29:17,船曳2,,つまりあの頃ね 1ルーブルが400円で1ドルが360円かなんか,
,00:33:29:19,00:34:00:01,船曳2,,でも実はそうじゃなくてルーブルなんてもう全然安いあれだったので 10倍ぐらいの値段でお金が買えられるんですよ それをするとフィンランドに鉄道で出ていく 途中で検閲がやってきて 買った毛皮とか同行の人たちが募集された,
