色選択,イン点,アウト点,スピーカーネーム,スピーカーAの文字起こし,スピーカーBの文字起こし,AやB以外
Violet,00:08:33:15,00:08:54:13,吉田,ほんで、この中央公会堂って岩本栄之助さんという人が資本家で寄付して建てたらしいんですけど、その頃は何もなかったらしいですね。 もう年なので、何か町のシンボルになるようなものっていうので、あれを建て。,,
,00:08:54:15,00:09:03:01,大津留,,,私はこちらの美術館も好きで東京に来るんですけども、常設展だけでですか。 家建てたから消えたかもしれ。 大丈夫です。 美術館常設してるだけでも。
,00:09:03:03,00:09:07:04,D,,,さんのマイクをお借りしていいですか？
,00:09:07:06,00:09:12:17,大津留,,,と言ったから、消えたかパフォーマンス大丈夫ですか？
,00:09:12:19,00:09:22:08,D,,,ちょっと確認します。
,00:09:22:10,00:09:24:16,山本,,こんな感じで通るんですね。,
,00:09:24:18,00:09:32:22,吉田,なんかね、ほんと。 いいです。,,
,00:09:33:00,00:09:36:04,大津留,,,大丈夫ですか？そっと入れます。
,00:09:36:06,00:09:48:16,山本,,登記当時から行ったことないですね。 ここへ来る途中、中川家の剛さんとすれ違い。 知ってたんは何かこうラッキーやし、今日は何かいいことあるんちゃうかなと思ってきましたけどね。,
,00:09:48:18,00:09:50:15,吉田,すれ違いましたの収録してた。,,
,00:09:50:16,00:09:59:12,山本,,そうですね。,
,00:09:59:14,00:10:07:16,吉田,何かね、テレビも何かまち歩き番組って増えましたよね。 1時よりもね、ぷらぷら普通に歩いてお店とか行ったりするので、ブラタモリもあるし。,,
,00:10:07:16,00:10:08:03,山本,,たり、確かに。,
,00:10:08:03,00:10:12:12,吉田,お笑いの人。,,
,00:10:12:14,00:10:18:11,大津留,,,結構キャンパスの中でもやってる時があって、知らずに何か映ったりした。 さすがにキャンパスの中ではなくて、何か高校生の皆さんにこの辺はこんなのがっていうのを学生さんのボランティアが作ったりしていて。
,00:10:18:13,00:10:19:06,D,,,て。
,00:10:19:08,00:10:21:17,吉田,そういうガイドツアー的なのは。,,
,00:10:21:19,00:10:31:01,大津留,,,観光で結構教員が知らないところ知ってたりして、耳をそばだて。
,00:10:31:02,00:10:32:19,吉田,ありますね。そういうサークルとかでやってますね。観光客の。,,
,00:10:32:21,00:10:35:23,大津留,,,何て言ったって。
,00:10:36:00,00:10:40:12,山本,,確かに関大も同志社も絵になるから取材はしやすそうですね。,
,00:10:40:14,00:10:45:11,吉田,勉強していくの。,,
,00:10:45:12,00:10:49:21,大津留,,,結構教員が知らないところ知ってたりして、耳をそばだてて。
,00:10:49:23,00:10:50:08,吉田,勉強。,,
,00:10:50:08,00:10:58:22,大津留,,,していた。そう。
,00:10:59:00,00:11:14:12,山本,,何かその事前にいただいてたやつを見ると、なんか最近の世界情勢から入っていけというような感じをしたんですけど。 やはりそういうお話でした。 5月3日。,
Rose,00:11:14:13,00:11:22:23,吉田,やっぱりこれ放送っていつなの？でしたっけ？5月3日5月高校がそうか、ちょっと先なのかな。 イランがどうなってるかわからない。 ちょっと先なのか。,,
,00:11:23:13,00:11:41:12,D,,,ですね。 今がどうなってるか分からない。 番組の冒頭で年末に収録してみたいな話をしましたので、時事ネタも要は5月のことを想像しながら、今日、昨日の話で全然問題ないです。
Rose,00:11:41:13,00:11:49:10,大津留,,,はい。 今日、昨日の話って言ったら、パキスタンでやってた交渉がやっぱりなっていうか、うまくいかなくて。 副大統領を出したのが正解なのかどうかというところを私は分からないんですけどね。 あまりに賭けをし過ぎてるのかなっ。
Rose,00:11:49:12,00:11:50:04,吉田,うまくいかないって思ってらっしゃった。やっぱり。,,
Rose,00:11:50:04,00:11:51:00,大津留,,,わけではなく。
Rose,00:11:51:00,00:11:56:06,吉田,て思ってらっしゃった。,,
Rose,00:11:56:08,00:12:06:02,大津留,,,副大統領を出したのが正解なのかどうかというところも分からないんですけどね。 あまりに賭けをし過ぎてるのかな。
Rose,00:12:06:02,00:12:11:09,D,,,って思った。
Rose,00:12:11:11,00:12:27:04,山本,,何かもうタガが外れたような世界が日常になってしまったっていう感じがしてますけどね。 2つぐらいからなんですか、先生、先生、中球のポーズ。,
Rose,00:12:27:06,00:12:38:12,大津留,,,いつぐらいからなのか、最初にトランプ出てきた時に国際法なんて無視をしてたので、多分その頃ってまだ周りに止めるわよね。 止める人がいても2期目は。 で、もう確信犯で、この間何でしたっけ？あなたは何を基準に判断するのかって私の両親でして、あなたの両親は信じられないわ。
Rose,00:12:38:13,00:12:40:11,吉田,その1期目、2016年。,,
Rose,00:12:40:12,00:12:55:14,大津留,,,とか言う人がいても、2期目はもう確信犯で、この間何でしたっけ？あなたは何を基準に判断するのか。 私の両親ですね。 あなたの両親が信じられない。
Rose,00:12:55:16,00:13:05:16,吉田,パンデミックがあって、ウクライナ戦争があってですよね。 だからそう考えると、もう非日常がずっと続いている。 非日常が日常になって慣れちゃったみたいな感じはしますよね。,,
Rose,00:13:05:16,00:13:06:23,山本,,そういう感じになっちゃってますね。 何か建前。,
Rose,00:13:07:01,00:13:12:07,吉田,がしますよね。,,
,00:13:12:09,00:13:24:06,山本,,としても、理想主義的なことっていうのはもう機能しないって言うかね。 まさかこうなると思ってなかったっていう。 私の両親か。 こうなると思ってなかったです。,
,00:13:24:10,00:13:31:00,大津留,,,せめて憲法基準ですぐらいのことは嘘でもいいから言ってほしかったんですけども、私の両親か。
,00:13:31:01,00:13:35:01,山本,,私の良心か。,
Mango,00:13:35:03,00:14:21:01,大津留,,,私はアメリカ研究なので、出来るだけ毎年のように調査に行ってるんですけども、今年度ちょうど年度終わりまでに予算消化しなきゃいけなかったということもあって、3回行ったんですけども、この年度ほど無事に帰って来れるんだろうかという心配をしながら、まず入れるんだろうか、でいる間に何かないだろうか、で、帰りますで、果たしてもらえるんだろうかと思ったことを40年以上アメリカ研究してるんですけども、初めてここまで来、自分自身の危険を感じる調査っていうのはなかったんで、私ですら そうなんだからね。 非合法に入ってる方たちって生きた思いはしないだろうなって。
Yellow,00:14:21:03,00:14:44:05,吉田,例外状態の時こそ、やっぱ国家主権が立ち上がりますからね。 これ、公法学者のシュミットっていう人が言いましたけど、例外状態がパンデミックもそうでしたけど、このもそうですけど、どうしても政治権力って強くなって強くなることで、いろいろ脆弱な立場に追いやられる人々が増えるっていう、そういうことなんだと思いますけど。,,
Yellow,00:14:44:05,00:14:56:14,山本,,政治権力が強くなるっていうのと合わせてなんですけど、あまりに属人的過ぎるっていうか、政治権力がそう見えちゃうんですね。,
Yellow,00:14:56:16,00:15:53:12,吉田,どうでしょうね。 だからね、鶏が先か卵が先かっていうことだと思うんですけど、トランプっていう大統領は出るべくして出てきた。 つまりトランプが原因というよりも結果なんだろうと思うんですよね。 民主主義指数っていうのがあるんですけど、それを見るとやっぱりトランプが出て当選する前よりもアメリカの政治状況ってやっぱ劣化をしてたんですよね。 で、それがやっぱりああいうリーダーがいろんな理由、プロセスでいろんな予期せぬことはありましたけど、それがああいうリーダーを生んだんじゃないかっていうふうに思いますが。 何でもね、ポピュリストが出てきて、民主主義の危機だっていうふうに言いますけど、僕は持論としては、民主主義が危機だから、やっぱりポピュリスト的なメッセージが政治家が出てくるっていうふうに捉えた方がいいんじゃないかと思い。,,
Yellow,00:15:53:14,00:16:12:10,大津留,,,でも、なかなか危機だというのをとことん最悪の状況に直面するまで気がつかないか。 なんとなく危機が進んでいるんだけども、危機だと思わないうちに、なのでトランプがって言いたくなるような、自分たちとしては悪くなかったのにあいつが出てきてっていう、そのどうして気がつかないんだろうなというところですよね。
Yellow,00:16:12:10,00:16:14:09,吉田,なくなるよう。 ゆでガエル的なところはあると思うんですけど、日々の小さなことってやっぱ気づかないですよね。 変化ってね。,,
Yellow,00:16:14:11,00:16:17:18,大津留,,,どうして気がつかないんだろうなと思います。
Yellow,00:16:17:18,00:16:57:14,吉田,何だろう、ここまでインフレもんかあるのもね。 久々の先進国のことですけど、本当にオイル危機以来ですけど、それでもね、なんとかなんとか高くなったな、外食高くなったなと文句言いつつもなんとなくそれでやっていくしかないので、ほんと日々の小さな積み重ねって見えないですよね。 久々の先進国のことですけど、ほんとオイル危機以来ですけど、それでもね。 だからこう物事を観察しておくってすごく大事だと思うんですね。,,
Yellow,00:16:57:16,00:17:22:05,山本,,ほんとそうですね。 ほら、炭鉱のカナリアみたいなことを言うじゃないですか。 だからみんなが危機だと思ってない時に、危機だっていう人がものすごくうさんくさく見られてしまうっていう、そういう問題も何かあるのかなっていうふうに思います。 あるいはそういう人に対する信用が失われてるっていうかな。 そうそうそうそう。,
Yellow,00:17:22:07,00:17:28:17,吉田,平和みたいなものをね、こうディストラックとする、邪魔するやつだってやっぱ思われちゃうんですか。 する人って。,,
,00:17:28:19,00:17:29:22,山本,,そうですね。,
,00:17:30:00,00:17:33:15,大津留,,,そういう人が今のネット状況というのはとお考えですか？学生がどんどん変わっていくので追いついてないんですけども、今。
,00:17:33:17,00:17:34:05,山本,,そうですね。,
,00:17:34:05,00:17:38:17,大津留,,,学生がどんどん変わっていくので、追いついてない。
,00:17:38:18,00:18:49:07,山本,,今、吉田さんがおっしゃられた論法と同じになるんですけど、やっぱりあれはネットが増幅ネットが、あるいはSNSがきっかけでタガが外れたっていうよりも、もともとあった何かがと極大化して大きく見えている。 それが実態以上に私たちをこう捉えてしまってるっていうところがまず一つあるんだろうっていうふうに思っているんですよね。 だから実際、特にSNSとかってそうですけど、簡単に安易に押せちゃうし、簡単にあんまり考えずに短い言葉入っちゃえるんですよね。 でもそういう短いことも入ったり、引用してる人もよくよく聞いてみると別にそういう思想を持ってるわけじゃないってことだってあり得るって思うんですよね。 だから、その言論とか意思表示のあり方が、なんていうか変わってしまったけれども、実際、じゃあそういう人がどれぐらいいるのかって検討の余地がまだまだ残ってる気がしますね。 ネット上の言葉だけ見てると、なんかもうすごいギスギスしたような異世界って見えちゃうけど、実際私らの日常は普通に生きてるわけでね。,
,00:18:49:09,00:19:45:04,吉田,特にメディアの方は何か世の中悪くなってると、トランプとSNSが悪いんだっていう、そういう反応なんですけど、多分その政治家もSNSもメディアであることは変わらないわけですね。 何かを媒介してるわけですよね。 その媒介する装置によって人間のどういうところの人間の言動がフレームアップされるかっていうのが変わるっていうことだったんですよね。 だから民主主義における政党がいろいろある。 いろんなタイプのリーダーがいる。 それからメディアもSNSだけじゃなくて、他のいろんなオールドメディアと呼ばれている。 こういうラジオも含めて、いろんなメディアが存在してるっていうこと自体が、人間の何かもっと立体的な、複合的な、奥行きのある存在であることを可能にせしめるんじゃないかと思うんですよね。 だから、複数性とか多様性って、そういった意味でも大事だなと改めて思いますけどね。,,
,00:19:45:06,00:20:06:11,大津留,,,おっしゃったみたいに、押せばいくってすごく簡単だから、そちらにこう流れていって、それと結婚するんで大変なんだけど、時間かけてゆっくり何人かやろうよという方に、どういうふうに私たち自身を引っ張っていけばいいのかなっていう、自分自身も含めて。
,00:20:06:12,00:20:09:18,吉田,うん。 切実な問題ですね。,,
,00:20:09:20,00:20:37:22,山本,,自分には。 ほんとそうですね。 ただ実際はそのSNSを使ってうまく勉強会してる学生さんとか、うまくコミュニティ回している集団とか団体ってあるあると思うんですよね。 そういう意味ではあくまでツールだから、これまでできてなかったことがSNSで一気にできるわけでもないし、できてたことができなくなるわけでもないっていうふうには一応思ってるんですけどね、私はね。 生成AIはね。,
,00:20:38:00,00:20:39:17,吉田,先生どうですか、それいうとはね、これもね、たぶん危機だとは思うんですけど、僕も。 でも日々のことなので、やっぱりなんとなく少しずつ変わっていくんだけれども、その帰結がどうなるか誰もわからないわけじゃないですかね。 それを危険とか危機と言わずして、なんといってもこう思うんですけど。,,
,00:20:39:19,00:20:41:18,山本,,そうですよね。,
,00:20:41:18,00:20:58:09,吉田,これもたぶん危機だとは思うんですけど、僕も。 でも日々のことなので、やっぱりなんとなく少しずつ変わっていくんだけれども、その帰結がどうなるか誰もわからないわけじゃないですかね。 それを危険とか危機と言わずしてなんという。,,
,00:20:58:13,00:20:59:02,山本,,先生は本当に今の日常に気が付いたら入ってるっていう感じで検索したら最初に出てきますもんね、先生の答えは。 だから、その判断する前にもう入っちゃってるっていうね。 そこの問題はやっぱり技術の問題として大きいっていうふうに思いますね。 あと、試験の作り方が変わりましたね。,
,00:20:59:02,00:21:00:04,吉田,ですけど。,,
,00:21:00:06,00:21:17:19,山本,,先生は本当に今の日常に気が付いたら入ってるという感じで検索したら最初に出てきますもんね、先生の答えは。 だから、その判断する前にもう入っちゃってるというね。 そこの問題はやっぱり技術の問題として大きいっていうふうに思いますね。,
,00:21:17:19,00:21:19:19,吉田,怖いですよね。 それからレポート書かせるのが一番教育効果が高い教育方法だと思ってたんですけど、今逆ですもんね。 そうすると逆に教育効果なくなっちゃうっていう状況になっちゃって。,,
,00:21:19:21,00:21:22:16,山本,,という状況で、結局筆記試験でその場で書かせ。,
,00:21:22:18,00:21:34:12,吉田,お詰め込み式、変形式に戻っちゃったかっていう感じで。,,
,00:21:34:12,00:21:36:16,山本,,で、結局筆記試験でその場で書かせた方が、ええ、そう。,
,00:21:36:16,00:21:40:12,吉田,そうそうそう、詰め込み式に戻っちゃったかなという感じ。,,
,00:21:40:12,00:22:02:10,大津留,,,良くても、その使い、これからずっと一生使っていく世代なんだから、うまく使うやり方を学ばせることが教育だっておっしゃるんですけども、私自身が使いながら教育されてきてないので、何をすれば本人の能力を高める形で使えるのかというのがわからない。
,00:22:02:15,00:22:04:18,吉田,そうですよね。,,
,00:22:04:19,00:22:22:17,山本,,よく今、相談相手として使う分には求められないし、むしろ言うてることを疑って使いましょうみたいなことはよく言うんだけど、実際じゃあ私はそうやって使ってるかっていうとそうでもなくて、割と鵜呑みにしちゃってるんですよね。,
,00:22:22:19,00:22:54:07,大津留,,,ね。 何を何を引っ張ってきてあなたは間違ってるんだって言えるのかというと、なかなか情報量としてはものすごく差があるんです。 でも、こないだのイラン攻撃の時の戦略も、AIが。 何ですかねという方向が好きだなと思ったら、ええという方向に向かって動いていくんだっていう風に書かれていて、じゃあトランプのような人が使うと思うと、そちらの方向になってしまう。
,00:22:54:07,00:23:00:16,山本,,ものすごく優しいツールだと言いますよね。 使えてね、こう、あなた言う意見ですねと言って褒めてくれるっていう。,
,00:23:00:18,00:23:19:12,吉田,最近AIも先生もいろんな種類あるんですけど、自分でモードを選べるんですよね。 つまり私に優しくしてっていうと優しくするし、ちょっともっと距離感とってっていうと距離感をとった答えをするし、そういった意味では人間にすごくアダプトしている、適応してるツールだと思うんですけれども。,,
,00:23:19:12,00:23:22:23,大津留,,,ているツールだと思うんですけど、でも私が何かっていうのをどういうふうにして、先生の。
,00:23:23:01,00:23:32:13,吉田,それはもう過去のデータで何を聞いて、どういう風に聞くか、何なのとか、何でしょうかって聞くのでも、答え方も変わってくるので。 そうなんです。 すごい忖度するツールで、その先生相手で出てきました結果が、それを疑いなさい、ダブルチェックしなさいって言うですけど、でもそもそも先生って何かを効率化させようとするためのツールなので、効率化させるツールをさらに非効率の手段でもってチェックするって、人間の何かだろう。,,
,00:23:32:16,00:23:33:20,山本,,ので、最適化されるのです。,
,00:23:33:21,00:24:05:15,吉田,そもそも趣旨に合わないんですよね、やり方に。 そこにそもそも構造的な矛盾みたいなものがAIってあるんじゃないかと思います。,,
,00:24:05:17,00:25:11:17,山本,,その先生の問題と、先ほどのSNSの問題と合わせてね、その思うんですけど、やっぱりその、あのね、緊張をそのままSNSの場合と、その背景に人間がいるとかの場合は、人間ませんけど、その対話とか出てくる言葉との間の緊張感みたいなのがあまりにもなさすぎちゃうんですね。 私が使ってて思うんですけど、もうそうかそうかって、もう情報としてパーンと受け止めて、すぐ使えるようになる。 最適化って今、吉田さんがおっしゃった通りなんですけど。 だからその、これAIに教えてもらったことを言うとどうなるかとか、あるいはこのSNSのつぶやきの背景にどういう人がいるかとかってことをあんまり考えずに言論とか表現できちゃうっていうね。 だからその他人がいるってことを感じにくくさせてしまう。 結果的にそういう情報環境に結果的になっちゃってるんですよね。 さっきさっき。 こうやって指示が来るに。 小寺さんがAIっぽい。 の、さっきそうそう吉田さんがおっしゃってくれたあの問題ね。,
,00:25:11:18,00:25:14:21,吉田,そう。,,
Cerulean,00:25:14:23,00:26:01:07,山本,,ここで皆さんが。 だから一人の人が株の仲買人なんでしょうが、私財を投じてドーンと作るっていうね。 何て言うんですか、大阪の分厚い町人文化とか商人文化って言われがちですけど、確かに今の今の経営者が何かあるって言ったら、それは何？ だから一人の人が株の仲買人なんでしょうか、私財を投じてドーンと作るっていう。 ドームに企業の名前を入れるとか、あと自分の名前を入れたホールを作るとか、そういうことをするけど、こういうほぼ公共に見える何かを作るって確かに珍しいかもしれませんね。,
Cerulean,00:26:01:09,00:26:42:06,吉田,こういう1910年代でしたっけ、作り始めたのが。 作り上がったのがやっぱり日本の産業革命が本格的に始まって、岩本ってね、渋沢栄一のとも知り合いだったらしいんですけど、日本の資本主義が、産業革命が始まって、その時にやっぱり富の偏重ってすごいわけじゃないですか。 で、その一部の資本家にドーンとお金が集まったので、こういうこともできると思うんですけど。 だから経営者が小粒になったとか、稼げなくなったって言いますけど、それはもうそれこそ民主化の結果なんじゃないかと思うんですよね。 富が平等に配分されてきたので、どうしてもモノがちっちゃくなっちゃうってしょうがないかなと。 富が平等に配分されてきたので、物がちっちゃくなっちゃうと。,,
Cerulean,00:26:42:07,00:26:52:10,大津留,,,でもそんな集中した時に、その集中を自分のところだけにせずに社会に返していこうっていう、そういう考え方が日本の中でどういうふうに発展してきたんですかね。
,00:26:52:12,00:26:58:04,山本,,この岩本の場合は、アメリカへ行った時に、アメリカの資本家たちがこういうことをしてるっていうので。 確かにそうですよね。 暗いところで紙幣に火をつけてみるっていう風刺がよくありましたけれど、あの時期の金持ちがね、確かにあまりに隔たりすぎてるから何か返す。,
,00:26:58:04,00:27:01:02,吉田,寄付文化を教えて。,,
,00:27:01:04,00:27:22:23,山本,,で、しかも自分の名声もアップするということで、そういう方法をアメリカから学んできたんじゃないかと思いますけどね。,
Cerulean,00:27:23:01,00:27:36:04,大津留,,,その割には財団は少なかったですよね。 最近いくつか出てきましたけども、アメリカの場合、税制度のせいだと思うんですけども、持ってると税金取られるんだったら財団にして、それで自分の自分の名前もEMをそこでみんなのためにってお金をっていう、それが今日までやったという。
Cerulean,00:27:36:06,00:27:36:16,山本,,確かに財団で。,
Cerulean,00:27:36:16,00:27:44:19,大津留,,,は、自分の名前もをみんなのためにお金をっていう、それが今日まで自由。
Cerulean,00:27:44:20,00:27:51:16,山本,,というと。 だから70年代のサントリーさんとかまでさかのぼるというか、こっちまで来ますね。 文化事業にお金回しましたもんね。,
,00:27:51:18,00:27:55:05,吉田,80年代、90。 やっぱセゾンですよね。 やっぱね。 もう日本はやっぱり寄付文化はないですね。 こういう比較してみるとあれですけど、やっぱ寄付したことありますか？どれくらい頻度やりますかっていうと、先進国でも最低っていうふうに出るので。,,
,00:27:55:06,00:27:58:20,山本,,文化事業にお金を回しましたね。,
,00:27:58:22,00:28:11:00,吉田,しないしない。,,
,00:28:11:02,00:28:24:18,山本,,いろんなところで寄付を募ってるけど、寄付をしてくださいって言われてするのは嫌なんですよね。 うん。 しかしその、しかしそのほっといたらするのかっていうとしないし、これが厄介なところでね。,
,00:28:24:20,00:28:45:00,大津留,,,やっぱり私の同僚で、その寄付のこととかを勉強してる人がいるんですけど、どうして？っていうね、なんでアメリカは、特にアメリカはどうして？って言って、まず教会行くでしょう。 教会へ行ったら回ってくるお皿がお金を入れざるを得ないしっていうね、何かそういう当たり前化している部分っていうのがあるのかなって。
,00:28:45:02,00:28:46:12,山本,,日常のところから何。,
,00:28:46:14,00:28:51:05,大津留,,,活かしている部分というのがあるのか。
,00:28:51:07,00:29:01:23,山本,,身銭を切るみたいな感覚っていうのは、もしかしたら日本とは違う育ち方をしてるかもしれないですね。,
Cerulean,00:29:02:01,00:29:54:15,吉田,ブラッドっていう面白い映画があるんですよ。 で、アメリカの建国してきたかみたいな。 基本的に話なんですけど、基本的に石油と宗教だって話なんですよね。 それがアメリカを作ったっていうのが映画自体のメッセージなんですけど、それで言うとその寄付でいうとすごくよくできてる仕組みだなと思うんですけど。 つまりアメリカは最初、階級がないところから始まったわけですよね、ヨーロッパと違って。 でそこでどうやってやっぱりある種の卓越さというものを社会の中で見せたらいいかっていうと、お金になるんですよね。 お金を自分のためじゃなくて、他人のために使う。 この公のために使うっていうのは、何かそういう人間として優れているっていうので、他人と差をつけて資本主義が回るっていう、すごくなんかうまくできた仕組みだなっていうふうには思ったりもしますね。,,
,00:29:54:17,00:30:10:02,山本,,たりもします。 確かに卓越化する必要ないような名望家とか篤志家がいっぱいいたら、別にね、寄付しなくてももう常に卓越してるってことになるのかもしれません。 階級社会とか封建制の話かもしれませんけども。,
,00:30:10:04,00:30:17:15,吉田,ずっと人間は何かにつけて他人と差をつけないと気が済まないってことなんでしょうね。 だから完成する前に死んじゃったんですよね。 確かね。 また面白い人生だと思います。,,
Cerulean,00:30:17:17,00:30:23:21,山本,,そうそうそう、岩本さん公会堂を作った山本さん、最後自ら命を絶ってるんですよね。 大失敗し。,
Cerulean,00:30:23:23,00:30:30:21,吉田,大失敗して完成する前に死んじゃったんですよね。 確かにね、また面白いなと思いますけど。,,
Cerulean,00:30:30:21,00:30:58:18,山本,,だと思いますけどそこで命を絶つところが、いや、本人はものすごくつらかったやろうけど、ちょっと弱さも感じざるを得ないかな。 方にもつながったです。 指令書という。,
,00:30:58:19,00:31:10:19,吉田,本人。 の専門。 の自分の専門をなぜ選んだか。なぜそんなにするのかと。,,
,00:31:10:21,00:32:00:05,D,,,答えが出ないのでこんな感じ。 元どおり。 本当に惨めだから。 それこそAIの話からいろいろうかがいまして。 場所の話も済みません。 拾っていただいてありがとうございます。 皆さん、今回難民をするにあたって、やっぱりヨーロッパのアメリカと日本かなという感じで、日本の専門家、うまく悩みそうなという狙いはもちろんあります。 それぞれ何で選んだのかみたいな、ちょっと振り返りつつ。 行けるようなお話を聞いてみたいなと思っていまして。
Caribbean,00:32:00:07,00:33:22:12,大津留,,,どなたからじゃ単純な私から。 趣旨広島なんですよ。 そうすると広島だと小さい時から毎年何があるかというと、原爆記念日があって、で、何があったのというのはずっと聞かされてきて。 だからそういうふうに言うと、アメリカ嫌いだったんですねって言われるんですけど、そうではなくて、母がちょっと仕事をしてるところがアメリカのお金が入ってるところだったので、職場に遊びに行くとハンカチいらないんですよね。 ペーパータオルなるものがあって、何これっていう、そういう文化的なショック。 全然違う世界がここに存在していて、それがアメリカという国で。 で、そういうその素晴らしさを持ってるアメリカと、原爆を投下したアメリカと、その両サイドをずっとこう経験しながら、じゃあ大学は何にするのって言ったら、ちょっと英語を好きだったので、英語が使えるとこへ行きたいなと思っていたところで、最初の授業がその直前までワシントン特派員をやっていたんだけども、新聞社を辞めた先生がやったアメリカの政治と 外交という授業で、もうバット入りましたね。 もうそれからずっとです。 なので、すごく単純で。 もう割と入りましたね。
,00:33:22:14,00:33:23:20,吉田,なるほど、皆すごく感じ。具体的にですね。,,
,00:33:23:22,00:33:38:19,山本,,日本人ということなんですよ。 先生の授業って大事なのはやっぱり。 最初にを責任重大っていう感じがしましたけど。,
