色選択,イン点,アウト点,スピーカーネーム,スピーカーAの文字起こし,スピーカーBの文字起こし,AやB以外
,00:23:39:23,00:23:44:23,吉田2,地下士さんの顔がずっと浮かぶのが大阪っぽいんですよね、この辺で。 何かあるんだろうなっていう。 ただならぬ何かじゃないっただけ。,,
,00:23:45:01,00:23:57:02,山田2,,ただならぬ何かになったり あっちもんですよね はい まとまるんでしょうか,
,00:23:57:04,00:24:05:02,山田2,,まとまるんでしょうか 座ればいいんですか,
,00:24:05:04,00:24:20:11,山田2,,あっち こっち,
,00:24:20:13,00:24:25:22,吉田2,咲いてないですけど、目の前にハトがいます,,
,00:24:26:00,00:24:26:11,山田2,,人はい。,
,00:24:26:11,00:24:29:21,吉田2,今言います,,
,00:24:29:23,00:24:37:10,山田2,,羽づくろいなんだろう,
,00:24:37:12,00:24:47:00,山田2,,まあなんかでもそういうこんな時にいつもご機嫌でいないといけないっていうのは結構しんどいですよね それってだからその,
,00:24:47:02,00:24:55:16,吉田2,それってだからさっきのどうしても外国と比較しちゃうんですけど やっぱり同調圧力ですよね,,
,00:24:55:18,00:24:56:22,山田2,,それはありますね,
,00:24:57:00,00:25:12:03,吉田2,こう見られたいっていうか こうしないと周りに認めてもらえないかもしれないっていうところが やっぱりそういう自己規律に働いちゃうと思うんですよね,,
,00:25:12:05,00:25:48:18,吉田2,やっぱり人間だものっていう話で 人間なんだから怒って当然だし悲しく思うのも当然だし それを相手に見せる それは相手を信頼しているから 当然自分の感情って 相手に見せることができるわけですよね そういう信頼関係のもとに 私とあなたの関係はあるんだっていう じゃなかったら夫婦喧嘩一つできなくなっちゃうわけですよね だって夫婦喧嘩しないでずっと仲良くなって やっていける夫婦も珍しいだろうなというふうに思うんですけど,,
,00:25:48:20,00:25:55:22,吉田2,そういう社会の方が なんかやっぱり 生きやすいんじゃないかなと思います,,
,00:25:56:03,00:26:39:08,山田2,,そうですねそう思います ハッピークラシーっていう本の中で やっぱり感情 でもどの感情を出していいかとか 怒りとか悲しみはすごい蓋をするとかコントロールで 一方で嬉しい悲しいみたいなのは すごい価値を上げてるみたいな 感情にもいろいろな勝ちづけというか格差があって ない方がいいって それがない方が幸せ度が高いみたいな話 ウェルビーングとか今すごい言葉流行ってますけど 世界幸福度調査とかでも,
,00:26:39:10,00:26:49:04,山田2,,やっぱり幸せを測る時に どういう感情がどれくらいあるかとか 数値化して可視化して評価するみたいなことがあって,
,00:26:49:06,00:27:03:02,山田2,,それが制作に結びつくみたいなことがあるので 感情の可視化と数値化とそれが制作に結びつくみたいなところの話も 本当にちゃんと落ち着いて,
,00:27:03:06,00:27:05:19,吉田2,感情を選んでいる時点で感情的じゃないですよね そうなんです,,
,00:27:06:01,00:27:17:12,山田2,,だから感情についてすごく理性的に振る舞うみたいなのが 正解とされているっていう時代の中で どういうふうに生きていったらいいんだろうなっていう感じですかね,
,00:27:17:14,00:27:18:20,吉田2,どういう風に生きていったらいいのかっていう感じですかね,,
,00:27:18:22,00:27:23:19,山田2,,本当に,
,00:27:23:21,00:27:31:15,D2,,,ねっていう話がありましたから。見て。
,00:27:31:17,00:27:34:05,D2,,,人間。
,00:27:34:06,00:27:37:11,D2,,,みたいな話。
,00:27:37:13,00:27:47:16,D2,,,を思いつきをしゃべら。
,00:27:47:18,00:27:55:05,D2,,,中で少し。
,00:27:55:07,00:27:59:21,D2,,,だけど。だけど。
,00:27:59:23,00:28:04:00,D2,,,なってます。
,00:28:04:01,00:28:38:07,吉田2,喜怒哀楽が春夏秋冬みたいな、そういう話ですかね。 「楽しい,,
,00:28:38:09,00:29:14:08,吉田2,感情ってね、人によってどういう時でどういう感情が出るかも違うこともあるでしょうし、文脈によってもどういう感情が出るかって違うだろうし、老若男女どういう感情が出るかって違うでしょうし、実際一人一人感情違うと思うんです。 にもかかわらずやっぱりそれを一つの枠として理解してやろうとか なんか政策につなげようっていうこと自体がなんか無理筋な感じがするんですよね,,
,00:29:14:10,00:29:27:21,吉田2,にもかかわらず感情という一つの箱に入れて議論することのなんか雑な感じがすごくしますよね 雑だと思います,,
,00:29:27:23,00:29:45:15,山田2,,雑だと思います なんかそうですよね本当にそう思います 数値化するとか見える化するとか ちょっと無理だろうなって思ってるんですけど しかもそれを政策に結びつけるとか 幸福度を測るとかって本当に,
,00:29:45:17,00:30:02:01,山田2,,どういう目線の幸福度なのかみたいなことが あんまり問われないまま そういうデータだけが一人歩きするみたいなことも含めて ちょっと感情って何ってもう一回考えたいなっていう風なところですかね 幸せってなきゃいけないっていう,
,00:30:02:03,00:30:09:10,吉田2,幸せってなきゃいけないっていう 結果としては幸せだったらいいんですよ 幸せじゃなきゃいけないって ある種の脅迫観念じゃないですか,,
,00:30:09:12,00:30:41:06,吉田2,ある種の脅迫観念じゃないですか それがむしろ人を不幸せにしてるっていう側面があるじゃないですか そのなんかすごく 人間の性っていうものの一面的な捉え方 が結果的にやっぱり人間の精度を持つ不思議さとか 不可思議なところとか 奇跡的なところって言ってもいいかもしれませんが その可能性を厳じてしまっている,,
,00:30:41:08,00:30:45:19,吉田2,そういうゲームをやらされているんだって みんなどっかで気づかなきゃいけないでしょうね 普通気づいてるんですけど,,
,00:30:45:21,00:30:51:22,山田2,,乗らないと落ちこぼれちゃうみたいな そういうところもすごくあって,
,00:30:51:23,00:30:53:18,吉田2,何から落ちこぼれるんですかね そう、落ちこぼれんって。,,
,00:30:53:20,00:31:05:02,山田2,,それこそハッピークラッシーの中でも 結構大きな企業の中に 社員を幸せにするっていうのを掲げる部署があるんですよ,
,00:31:05:08,00:31:06:06,吉田2,なるほど。 それだけのためにある。,,
,00:31:06:08,00:31:13:11,山田2,,割とそれだけのためにある部署があって 本当にあって,
,00:31:13:13,00:31:21:13,山田2,,大企業テック系の企業とかにはあるんですけど 結構そこから広がっていろんな それこそウェルビング系の文脈の中で,
,00:31:21:15,00:31:57:23,山田2,,日本でも広まってますけど それは仕事で成功して幸せになるっていう 今までの図式じゃなくて いつもハッピーオーラを出していて ご機嫌で人当たりが良くて そういう人が成功するみたいな そういう人当たりが良くて うまくコミュニケーションする心理的安全の保たれる組織こそが 良いブレイクスルーとか商品開発とかにつながっていって その中でだから生産性ハッピーな人が増えると生産性が上がるっていう,
,00:31:58:01,00:32:19:18,山田2,,仮説に基づいてそういう部署が実際にあるんですね いろんな企業でいろんなパターンで そうするとやっぱり不機嫌な顔を社内でできない とか腹が立っても言えないとかっていうのは 本当に日常的にそうなっていて 今働く人はそういう,
,00:32:19:19,00:32:39:13,吉田2,本当にその部署がちゃんと働けていれば、つまり機能していれば、 今怒っちゃいけないなって思わせない方が、本来的にやるべきことができているということですね。 そこで怒りたいんだけど怒れないっていうふうに思わせちゃったらもうダメですよね。,,
,00:32:39:15,00:32:43:00,山田2,,そうですね てかそもそもずっと幸せだったらそういう部署いらないっていうことなんですけど,
,00:32:43:02,00:32:48:06,吉田2,そういうことですよね。だってね。 すごくなんかおかしいですよね,,
,00:32:48:07,00:32:49:16,吉田2,何かおかしいですよ。,,
,00:32:49:18,00:33:12:05,山田2,,そうなんか本当にそういう今までの図式の矢印というか それが逆になってて幸せな人が成功するっていう じゃあその幸せになるにはどうしたらいいのかは誰も教えてくれないっていうところで 本当に悲しいとか怒りとか そういうものはまずない,
,00:33:12:07,00:33:13:13,吉田2,ないものとする,,
,00:33:13:15,00:33:46:12,山田2,,ないっていう前提っていうか 人間にとって成功する人にとっては少なくともない いらないっていう前提で いろんなことが進んでいっているので なんていうんですかね 私その人事の人にインタビューしたことがあるんですけど その方はご自身の近しい親族に 障害を持っている人がいて でも自分はそういう人事で健康経営とかウェルビング経営で そういう社員を幸せにするにはどうしたらいいかって毎日考えてるんだけど,
,00:33:46:14,00:34:09:01,山田2,,その社員を幸せにするってなった時に いつも生産性とか効率へみたいな話ばっかり やっぱりついて回っちゃって でも家に帰ったら何もしない 生産性という意味では全く何もしない人がいて でもその存在は自分にとってかけがえがないし いること自体が価値があることなんで いつもその間で,
,00:34:09:03,00:34:32:20,山田2,,いつもその間で なんかこうもやもやしてるんです っていう話を聞かせてくださった人がいて いやもう本当そうだなっていう風に その時思ったんですけど なんか幸せとかが なんていうのか 生産性と結びつきすぎだし 人の人生をちょっとなんていうか なんていうのかな 存在のありよう自体を 丸ごと受け止めるみたいな形では,
,00:34:32:22,00:34:45:08,山田2,,想定されてなくて そのこと自体を ちゃんと 今のウェルビングバヤリの問題とともに 考えないといけないという風に 思っているところですかね それは人間をやっぱり,
,00:34:45:10,00:35:28:14,吉田2,それは人間をやっぱり何かの役割としてみなすからそういう話になっちゃうわけですよね。 感情って、まあね、こう、仕方なく出てくるものなので、 それを人間として 人間を一つの手段として捉えようとすると感情自体もコントロールの対象になってしまうということで だから関東が言ったように人間は手段であって目的として人間は人間を捉えなきゃいけない そしたら今のそういうつまらないくだらない,,
,00:35:28:16,00:35:33:06,吉田2,ウェルビングみたいな話はそもそもいらなくなるっていうことだと思うんです,,
,00:35:33:07,00:35:45:18,山田2,,本当に生産性とシームレスに結びついてしまうウェルビングの恐ろしさというか 滑稽さというか それをもうちょっと誰か言った方がいいなと思っているところなんですけど,
,00:35:45:18,00:35:53:09,吉田2,やっぱフーコは正しかったっていう感じはしますけどね,,
,00:35:53:11,00:36:00:19,吉田2,権力って良かねと思ってやる権力の方が実は立ちが悪いっていうのが 風光が言ったことなので,,
,00:36:00:21,00:36:03:13,山田2,,こそそうですね。,
,00:36:03:15,00:36:06:08,吉田2,研究されてる。,,
,00:36:06:10,00:36:09:15,山田2,,地獄への道はない。,
