色選択,イン点,アウト点,スピーカーネーム,スピーカーAの文字起こし,スピーカーBの文字起こし,AやB以外
,00:06:31:23,00:06:35:09,山田1,私のいる大学は北折ですけど,,
,00:06:35:11,00:06:40:09,山田1,私のいる大学は北折ですけど 北折ともまた文化圏が違うなって思いますので,,
,00:06:40:11,00:06:44:11,吉田1,,表情が全然地区によって違うということなんですかね,
,00:06:44:13,00:07:00:09,山田1,割と地域で違うかなと思っていて 北の方と南の下の方だとやっぱり全然違うんですよね お互い違うって思い合ってる大阪の中でも,,
,00:07:00:11,00:07:06:05,山田1,全然違うって思い合ってる感じがしますね,,
,00:07:06:07,00:07:17:19,吉田1,,僕の学生に大阪出身に住んでるやつがいるんですけど 大阪のあそこに住みたいとかあそこに住みたくないとか話を結構するんですよ その感覚ってまぁ東京もなんか東と西で違うみたいなあるんですけどそこまでこだわりってないんですよね,
,00:07:17:21,00:07:21:00,吉田1,,中なんか。,
,00:07:21:02,00:07:24:22,吉田1,,こだわりってないんですよね。何かをするのか。,
,00:07:25:00,00:07:27:11,山田1,あるとかなんて言うんでしょう 結構 階層が違うっていう意味があるんですか,,
,00:07:27:13,00:07:28:19,吉田1,,か、そう。,
,00:07:28:21,00:07:43:10,山田1,異文化な感じがある 面白いですね 私の大学にもしどなたかが着任される時も どこに住んだらいいですかってなった時に,,
,00:07:43:12,00:07:56:19,山田1,いやもう大学近辺のある北雪が一番落ち着いてるよとか あえて大阪に進めずに京都に住んだらいいよとかってなったりとかして,,
,00:07:56:21,00:07:59:15,山田1,て。,,
,00:07:59:17,00:08:25:22,山田1,外部から来られる方はあんまりにも大阪過ぎると心配しちゃうというか 大阪的なものにアレルギーが発症しないかなって思っちゃうというか さっきアジアっぽいとおっしゃったと思うんですけど この辺りはまだ大丈夫ですけど 震災橋から南波あたりに行ったりとか 我々がイメージする大阪の,,
,00:08:26:00,00:08:26:17,吉田1,,我々がイメージする大阪ですよね。,
,00:08:26:19,00:08:38:14,山田1,そうですよね いわゆる観光の案内に書いてあるような グリコのあれとかフグのズボン こんな固有名詞出せたらダメですね,,
,00:08:38:16,00:08:45:04,山田1,そういうのとかのすごい わい雑な感じというか,,
,00:08:45:06,00:08:55:02,山田1,あの大阪の表彰っていうのは 私ずっと大阪ですけど、自分とは違うって思うんですね。 なんか大阪だけど私の文化じゃないってすごい思っていて、,,
,00:08:55:04,00:09:35:22,山田1,なんか大阪だけど私の文化じゃないってすごい思っていて、 あれが大阪ですって言われることにすごい違和感がいつもあって、 私ずっと京都と大阪の境ぐらいに住んでいて、 どっちも遊びに行ける範囲っていうか、京都行ったり大阪、 でも大阪行くときも梅田にしか行かない その下の方の南の方は行かないみたいな感じ なんかイルカだからみたいなイメージがあって でも一般的には南の方の大阪 ディープな大阪ってなってくると そういうすごいわいざつな感じとか,,
,00:09:36:00,00:09:41:14,山田1,あともっと西区とかだと大正区かなどこだろう,,
,00:09:41:16,00:10:08:01,山田1,庶民的で面白いおばちゃんがいるとか なんかそういうイメージがあるんですけど それ全部私じゃないってすごい思ってて そういうふうに思ってる人はたくさんいると思うんです だから一般的な大阪イメージと 大阪で生まれ育った自分が持ってる 大阪のイメージが合わないっていうのは ずっと思ってることなんですけど,,
,00:10:08:03,00:10:12:12,吉田1,,それでも大阪の人って大阪愛が強いって一般的なイメージなんですけど,
,00:10:12:12,00:10:14:12,山田1,大阪への偏在してる感じなんですね,,
,00:10:14:14,00:10:16:19,吉田1,,その大阪へも結構偏在してる感じなんですかね そうですね,
,00:10:16:19,00:11:06:00,山田1,そうですね なんかだからあんまり大阪愛とかないじゃないですか 分からないどうでしょう なんていうのか一般的な大阪的なものへの愛は あんまりないかもしれないですね なんかずっと違和感抱えて生きてるっていう感じ そういうわい雑なちっちゃなアジアみたいな大阪とか おもろいおばちゃんがいる大阪とか 気のいいおっちゃんがいる大阪とかっていう それで表彰されるものと プラス私のいる大学の近くに万博記念公園があって 太陽の塔とか観覧車とかがあって そっちは自分にしっくりくるんですね,,
,00:11:06:02,00:11:29:22,山田1,でもあっちもそれはそれで大阪の代表みたいな感じで 表彰されるのにすごいシンボルとして使われるんですけど このわい雑なものを大阪的だって思ってる人が 観覧車とかを時々大阪的なもののイメージに利用する時があって その時は理解に利用しないでみたいな そういうふうに思っちゃったりとか,,
,00:11:30:00,00:11:49:19,山田1,そういうふうに思っちゃったりとか なんていうのかななんか違和感というか距離がありますね すごい多様なんですね大阪 多様ですね中が全然一緒じゃないっていう感じが勝手な私のイメージですけど,,
,00:11:49:21,00:11:53:18,吉田1,,そういったけどもやっぱ住んでる人がそれだけ多様だからってことにてあるんですかね どうなんでしょうね,
,00:11:53:20,00:11:54:22,山田1,どうなんでしょうね,,
,00:11:54:22,00:11:57:10,吉田1,,さっき知らなかったんですけど大阪って沖縄人街があるんですよね,
,00:11:57:12,00:12:05:20,吉田1,,さっき知らなかったんですけど大阪って沖縄人街があるんですよね リトルナハみたいなのがあって はいはいはい どこなんですか どこだっかな,
,00:12:05:22,00:12:07:07,吉田1,,基本西成の方だったと思うんですけど,
,00:12:07:09,00:12:08:12,山田1,方。,,
,00:12:08:14,00:12:11:22,吉田1,,あと、コリアンタウンもあるじゃないですか。,
,00:12:12:00,00:12:12:22,山田1,ねですね。,,
,00:12:13:00,00:12:19:21,吉田1,,そうやって外部から流入してきた人もいるし、 おそらく古くから大阪に住んでる人もいるし、,
,00:12:19:23,00:12:22:07,吉田1,,いわゆる新中間層みたいな人たちもいるだろうし、,
,00:12:22:09,00:12:30:12,吉田1,,いわゆる新中間層みたいな人たちもいるだろうし、 そういった人たちがまとまって住むっていうことなんですかね。,
,00:12:30:14,00:12:45:10,山田1,そうですね、いろんな人がいるんだと思いますが ちなみに目の前の川とか、技師的な建造物っぽい日銀ですよね そうですね,,
,00:12:45:12,00:12:51:07,山田1,そうですね この辺の印象は、ゆなさんは全く詳しくないと思うんですか?,,
,00:12:51:09,00:12:59:13,吉田1,,全く詳しくないですね。 本当にビジネス外で一回呼ばれて、話をして、,
,00:12:59:15,00:13:01:20,吉田1,,大体、なんか迷うっていう、そんな印象しかないんですけど。,
,00:13:01:22,00:13:06:16,山田1,正直じゃないんですけど,,
,00:13:06:18,00:13:13:16,吉田1,,機会があります。,
,00:13:13:18,00:13:29:15,山田1,昔から時々、図書館があるので来てましたね 勉強しにも来ましたけど、お散歩しにとか 普通に、ここからまっすぐ行ったら梅田に着くんですよ,,
,00:13:29:17,00:13:49:10,山田1,なんとなく歩いて梅田行くとか 夜に梅田から友達としゃべりながら こっち戻ってくるとか散歩がてらみたいな あとこういうイルミネーションが冬になると 二度薄地のイルミネーションでやってて この辺全部イルミネーションがあるから 若い時は来ました,,
,00:13:49:12,00:14:04:16,山田1,若い時は来ました 最近は寒いから来ないですけど 中野島っていう地名というか 福岡だと中須とか言うんですけど 中野島って島なんですよね そうなんですね,,
,00:14:04:18,00:14:12:12,山田1,そうなんですね 島じゃないですか 橋でしか渡れなくないですか なるほど そうですよね,,
,00:14:12:14,00:14:16:00,吉田1,,そうですよね、向こうにも川があるってことだろうな,
,00:14:16:01,00:14:18:14,吉田1,,高速とした川があるんですよね,
,00:14:18:16,00:14:43:18,山田1,梅田は梅田田田んぼ 田んぼっていうか もともとだから本当に埋めるっていう字とあれで そんなの関係ありますかね 吉田さんの古巣であるパリと水の川 やっぱり中の島みたいなものがあって,,
,00:14:43:20,00:14:51:05,吉田1,,セーヌ川の中に一番そこから始まったっていう風に言うんですけど パリはセーヌ川の中に浮かんでる島があって,
,00:14:51:07,00:15:04:18,吉田1,,そこにちょうどオリンピックの時にそこの風景が映ってましたけどね そこにマリアントアネットが流閉されてたところなんですけど,
,00:15:04:20,00:15:08:19,吉田1,,幽閉されて。,
,00:15:08:21,00:15:13:04,吉田1,,そこが一番お金持ちが住むところでもあるんですけど まあでもそういう地形は似てるけど,
,00:15:13:06,00:15:19:12,吉田1,,まあでもそういう地形は似てるけど ちょっと中身は違うかなという感じはしないでます,
,00:15:19:14,00:15:23:17,吉田1,,ただ観光庁もそういうところ パリ市警なんかもそこにあるので,
,00:15:23:18,00:15:24:21,山田1,ので。,,
,00:15:24:23,00:15:42:18,吉田1,,そういったところでこういう公的なものが集まっている 真ん中にっていうところは似てるかもしれないですけどね 一応ここは市役所ですよね 日の丸型っていう 姉妹都市ですかパリといけない,
,00:15:42:20,00:15:45:11,D1,,,すごい。
,00:15:45:13,00:15:49:11,吉田1,,パリとない京都が姉妹都市,
,00:15:49:13,00:15:59:00,吉田1,,でも基本なんか川がある街っていいなっていつも思うんですけどね 京都も鴨川流れてますけど ねあの,
,00:15:59:02,00:16:05:16,吉田1,,ですよね東京も川沿いにいろんな人がなんか集まるってそこでそれぞれ なんか思い思いのことをやってる,
,00:16:05:18,00:16:35:05,吉田1,,水の水目のそばに人って集まるんだなぁっていう はいうんそうですよね おー,
,00:16:35:07,00:16:57:01,D1,,,の。
,00:16:57:03,00:17:24:22,吉田1,,基本地図見ると世界中だいたいそうなんですけど やっぱり平面で水のあるところに人って集まるんですね最初ね そこから都市がだんだん発展をしてくるので そういう形でここも発展してきたのかもしれないですよね 何もって普通に用意してないわけじゃないんですけど 何の話しましょうかね,
,00:17:25:00,00:17:34:05,D1,,,大阪って。
,00:17:34:06,00:17:46:10,D1,,,すごい街がいい感じが。
,00:17:46:12,00:17:50:19,山田1,私ですか?,,
,00:17:50:21,00:17:55:08,山田1,それは特にないかな… それを言い出すとすごい長くなるので,,
,00:17:55:10,00:18:00:03,山田1,それを言い出すとすごい長くなるので,,
,00:18:00:05,00:18:16:20,山田1,昔のことでわからないんですけど 別にご機嫌でいなくちゃとかは思ってなかったんですが,,
,00:18:16:22,00:18:28:19,山田1,今の研究の感情に何でたどり着いているかといいますと でもそういうのもあったのかもしれないですけど,,
,00:18:28:21,00:19:18:23,山田1,なんか私が大学の時って ちょうど受験をする時に 阪神淡路大震災があったんですよって すごい年がバネルっていう感じなんですけど どうしよう そうですね それで私立大学の入試が 2月の頭にあるやつが 全然その後ろになったりとか でも大きな有力次第はそんなずれませんでしたけど それであと大学私兵庫にいたんですけど そういうのだし 97年には神戸のスマ事件があって 小学生を中学生が殺すみたいなことがあって 心のケアが大事だとか 心の教育みたいなのが,,
,00:19:19:01,00:19:27:08,山田1,心の教育みたいなのが ちょうどだから私が大学生活を送っていた地域で バーンって来て,,
,00:19:27:10,00:20:06:08,山田1,みんなが心のケアとか心の教育とか 心の傷とかそういうことを すごい言い始めたっていうのがあって それが私には気になったっていうか すごい正面からどうしたらいいんだろう っていうふうに最初捉えてたんですけど でもなんかなんでみんながここまで心心って言い出すんだろうっていう風な形で気になり始めて でなんか心についてこんなに人の内面が問題になるってどういうことなんだろうっていう風なことを考え始めたんですね,,
,00:20:06:10,00:20:46:05,山田1,でそこからなんかこう心をある種武将化して目に見えないものなんですけど なんか無償化するとかあたかも実態であるかのように 肉体と同じようにケアの対象だっていう風にするっていうのは 一体何をすることなんだろうっていうようなこととか思ったりとか あと心を教育するって 人間を教育するとか子供を教育するとかじゃなくて 心だけ取り出して教育するって一体どういうことなんだろうとか いろいろ思い始めて その心言説みたいなのがいつ頃どうやって出てきたんだろう みたいなことを調べ始めて,,
,00:20:46:06,00:20:54:11,山田1,一応その95年を起点として まだ若かったので それぐらいしか分からないみたいな感じで 95年からの,,
,00:20:54:13,00:21:36:11,山田1,95年からの その前ちょっとぐらいかな 80年代ぐらいからの心ブームみたいな その前に心のケアが95年に出る前に 異常犯罪とか殺人事件 FBI心理分析官のなんちゃらかんちゃらみたいなのが 本が流行ったり心の闇ですね あと24人のビリー・ミリー監督が流行ってたりとか そういう異常心理みたいなものがあり もうちょっと遡ると80年代の末にテレビ番組で 心理テストが流行っているみたいな性格判断とか ソレイケココロジーとか先生分かります? 分かります分かります,,
,00:21:36:12,00:21:36:20,吉田1,,わかりますわかります,
,00:21:36:20,00:21:40:10,山田1,分かります分かります そういうのがあってみたいな,,
,00:21:40:12,00:22:23:02,山田1,そういうのがあってみたいな 80年代ぐらいからの心言説を並べてみるみたいなところを考えて 日本社会というか近代社会の中で どうして人間のメンタルだけが取り出されるというか すごい注目をされるんだろうみたいなことと あとその心理学的な知識というのが 専門的なクリニックの中だけとか すごい実験心理とかじゃなくて 一般的な大衆的な知識として広まっていく過程において 一体どういうことが起こっているんだろうみたいなことが 気になっていたっていうのが最初の特化かりですかね,,
,00:22:23:04,00:22:50:10,山田1,そこからありのままの自分とか 消費者会的な個性元素みたいなこととかも気になったりとか いろいろしていて 2000年代に入ってくると心のケア心の教育 次、労働者の心の教育って子ども対象なんですけど 2000年代の後半というか2006年ぐらいからは 心の健康というのがすごい言われ始めるという時代に入っていって,,
,00:22:50:10,00:22:51:13,吉田1,,メンタルヘルスみたいな,
,00:22:51:15,00:23:53:01,山田1,そうですね、労働者の心の健康がすごい言われて というのは99年に電通事件の過労自殺の最高裁判決が出て すごい賠償金が高くなるとかいろんなことがあって 世論も結構盛り上がったので 厚労省がもうじゃあ心のケアやりますみたいなのが 99年2000年代の最初あたりなんですけど その時にパワハラっていう言葉も 和製英語として出てくるっていうことなんですけど そうなんですそうなんです そこから本当に4つのケアとかって言い始めて 心の健康って言ってくるのが2006年ぐらいから だんだんすごい出てきてっていうので 心言説をいろいろ並べて いろんな人を対象にいろんな人の心がすごい注目されるし それをある種ケアするんだけどコントロールしようともしているっていう風なことがあって その間でどんなことが起こっているのかとか それどういう風に考えたらいいんだろうみたいなことを考え始めてて,,
,00:23:53:03,00:24:04:00,山田1,それがだから最初ですかね はい 時代を感じますね,,
,00:24:04:02,00:24:15:17,吉田1,,なんか時代を感じますね確かにそれを聞くと 言われてみると確かにそういう波というか 現象としては個々なんだけれども個別なんだけれども,
,00:24:15:17,00:24:20:14,山田1,つなげてみると大きな変化という視点の切り替えみたいな,,
,00:24:20:16,00:24:25:13,吉田1,,視点の切り替えみたいなのがあった時代なんだなという印象は 確かにそう言われてみると思いますね,
,00:24:25:15,00:24:28:15,吉田1,,確かにそう言われてみると思いますね まだちょっとお話しさせていただくと,
,00:24:28:17,00:24:47:19,山田1,そういうのがあって2000年の中の半ばぐらいまでは 割とケアとか教育とかちゃんとしなきゃというかそんな感じもあったんですけど そこでやってるうちに過労自殺の問題とかを取材とか言ってたんですけど,,
,00:24:47:21,00:25:12:22,山田1,やっぱり労働者の心の健康大事だとか ブラック企業問題とかが流行語になったりとかしてて だから今までずっとそういう働きすぎで死んでいったとか 嫌がらせされて死んでいった人とか自殺した人って その人の弱さで死んだんだからそんなの保証しないとかっていう風に 本人も書いてたんですけど私そういう時代だったけど,,
,00:25:13:00,00:25:42:08,山田1,そうじゃなくてやっぱ職場をちゃんとしないと人が死ぬから それはやっぱり事業主の責任としてちゃんとしないといけないみたいな風になっていくんですよね それで福利厚生っていう面で ケアするちゃんと労働者の気持ちをメンタルケアちゃんとするっていうのは いいことだと思うんですけど そこに違う要素が乗ってきちゃうっていうか やっぱり企業とか会社の文脈だと メンタルヘルスちゃんとしないと生産性が上がらないっていう話が,,
,00:25:42:10,00:25:57:12,山田1,メンタルヘルスちゃんとしないと生産性が上がらないっていう話が 必ずついてくるようになるっていうので 商品なんだから大事にします そうですね だからうちの事業をちゃんとするためには 面白いですねすごい,,
,00:25:57:14,00:26:02:17,山田1,面白いですねすごい えー初めて見た 川をきれいに,,
,00:26:02:19,00:26:12:00,山田1,川をきれいに 一応これで泳げるんですけど いやーどういうんですか セーヌ川みたいにきれいにしようとか,,
,00:26:12:02,00:26:29:23,吉田1,,そういうことを考えて 泳げるようにしようとか アイガスが優勝したら、ドートンポリー。 何線って言うんだろうな。,
,00:26:30:01,00:26:34:03,吉田1,,何線って言うんだろうな。 真ん中でゴミを拾えるようになっている。,
,00:26:34:05,00:26:46:23,吉田1,,はい 何の話があったか,
,00:26:47:01,00:27:40:17,山田1,何の話だったかという感じですけど そうですねだから大事にしましょうの意味が変わってきちゃうというか なんかすごい二面性を持っているというか生産性を上げるためにとか効率性を良くするためにみたいなのがいつも表裏一体であって どうなんだろうと思ってたのが2010年ぐらいなんですけど でもそこからさらに2010年代の半ばになると 厚労省が労働者のメンタルヘルスとか安全衛生とか一応管轄なんですけど 経産省が入ってきて2010年代になってくると 日本型の雇用慣行が崩れたっていうふうなこととかで 海外の投資家に日本型経営の新しい形をアピールするみたいなことで よし健康経営だとかウェルビング経営だみたいなことを言い始めるっていうのがあるんですよね,,
,00:27:40:19,00:28:00:06,山田1,さらにその…なんかなんか来た なんか面白い どういうことだろう,,
,00:28:00:07,00:28:04:18,吉田1,,すごい波を立てて あれは何の筆?,
,00:28:04:20,00:28:10:05,吉田1,,何か運ぶ?引っ張る?,
,00:28:10:06,00:28:23:17,吉田1,,橋を取らなきゃいけないから低いんですね 健康経営とかウェルビング経営とか言い出して,
,00:28:23:18,00:29:00:04,山田1,あとそれと少子高齢化がすごい進むから 医療費大変なことになるってずっと言われてますけど だからピンピンコロリを目指せっていうのはもうずっと言われてますけど だから労働者長く働いて現役でずっと保険料を納める側でずっといてほしいっていう 元気な人は医者に来なくて済むから 労働者はとにかく元気で働かせなきゃみたいなことを 結構なんかあからさまなことが政府の資料とかには書いてあるんですけど,,
,00:29:00:06,00:29:32:06,山田1,そういうふうなこともあったりして 経産省が労働者のメンタルヘルスに一丁がみしてくるというか 健康経営ウェルビング経営というのを言い始めて そのブラック企業問題があったから ホワイト500とかという検証制度があって 認定制度というか検証制度みたいなのがあって いろんな労働者のメンタルヘルスとか いろんなことにちゃんと気を配れている企業ですという 認定をするっていうのをし始めるんですよね,,
,00:29:32:07,00:29:33:13,吉田1,,そうすると2010年代の半ばくらいからの話ですね,
,00:29:33:15,00:30:13:23,山田1,そうすると2010年代の半ばぐらいからの話ですね ここ10年ぐらいの話ですけど そうするとなんかでも結局それに認定される企業って 大きな企業ばっかりっていう ただ格差が可視化されただけっていうだけなんですけど でもなんかやっぱり有力な企業はそれがあることで 優秀な学生が受けに来るから それを取るみたいな形になっているというふうなことがあったりして その中でいろいろメンタルヘルスどうやって改善させるかとか あとパワハラ問題もずっとあるので アンガーマネジメントが出てくるとか,,
,00:30:14:00,00:30:24:09,山田1,あるいはマインドフルネスをどういうふうにするかとか というふうなことがいろいろあって 結構心理学的な知識がまた企業の中に入っていくというような 新たな形で入っていくということがあったりするんですけど,,
,00:30:24:11,00:31:12:08,山田1,ということで そこでさらに企業がやらせているというわけじゃなくて 労働者の側も自己実現とか 労働によって自己実現したいとか いい仕事をしたいとか 私自身のウェルビーングにはいい仕事が大事だし そのためには自分で自分の機嫌を取るのが正しいとか なんかしんどくなったらちょっとリトリートでどっか行くとかっていう風なので その労働者の側もそれになんか乗っかっていっちゃうっていうか 自然にそうなっちゃうっていうかそういう問題があって でもなんか一部の人はなんか騙されてる気がするっていうか 何かおかしいみたいな それで何かおかしいと思うんですと思っている人が 結構私の時に話を聞きに来るみたいな そういう状態にもあるかなっていう感じですかね,,
,00:31:12:10,00:31:15:00,山田1,そういう状態にもあるかなっていう感じですかね でも聞いてて,,
,00:31:15:02,00:31:19:12,吉田1,,でも聞いてて 風光の言ってたことですよね 言ってみればね,
,00:31:19:14,00:31:22:20,山田1,確かにそうですね 彼は,,
,00:31:22:22,00:31:28:20,吉田1,,懺悔が健康に変わった みたいな表現をしてたと思いますけど,
,00:31:28:22,00:31:36:18,吉田1,,自分はこんな健康なんです っていうことを見えない権力によって 言わされる あるいは思い込まなきゃいけない,
,00:31:36:20,00:31:52:08,吉田1,,あるいは思い込まなきゃいけない それで 自己規律みたいなものが 働くっていう そういった目に見えない権力作用のあり方を可視化しようということなので 僕はいつも政治学って権力の見える化をする学問ですよ,
,00:31:52:10,00:31:54:22,吉田1,,というふうに言ってるんですけど,
,00:31:55:00,00:32:00:19,吉田1,,というふうに言ってるんですけど そういった意味では政治学者かもしれないという感じは 話を聞いてて思いますね,
,00:32:00:21,00:32:25:03,山田1,そうですね 風光がきっとそうなんだろうなっていつも思いつつ 社会学者として風光をすごい使いにくいっていうのがあって なんて言うんでしょうね なんかやっぱ哲学者のイメージがあるっていうのはそうなんですけど 目に見えない権力って確かに目に見えないんだけど こっちは目に見えさせたいわけなんですよ 社会学者なので言葉と実証で,,
,00:32:25:05,00:33:07:07,山田1,インタビュー調査で実際にそういうことを言ってる人がいるとか 統計とか計量でデータとして集めたらこういうことが言えるとか 理論とかでも社会学理論の中でも なんていうか 目に見えない権力って言っちゃったら 社会学者としてそれでいいのかっていう気が どうしてもしてしまうとこがあるんですよ すごいでもやっぱり重要な思想家だし すごい面白いこと言ってるんですけど なんていうのかな 社会学者としてもうちょっとなんか 具体的な風にしたいっていうのがあって 実証的で そうなんです だからやっぱなんていうのかな,,
,00:33:07:09,00:33:20:22,山田1,私弁的にならない 別にフーコが私弁的って言ってるわけじゃなくて 具体性を持った実証的なところでやりたいってなると フーコめっちゃ面白いけど使いにくいっていうのがあって,,
,00:33:21:00,00:33:33:00,山田1,フーコめっちゃ面白いけど使いにくいっていうのがあって あんまり多分フーコ言ってるよねって それをすごいわかるんです 実際そうだと思うんですけど なんかこう,,
,00:33:33:02,00:33:36:16,山田1,なんかじゃあ自分何も言わないでいいってなっちゃうっていうか,,
,00:33:36:18,00:33:42:04,山田1,その風向全部言ってたら終わっちゃうってなるんですけど,,
,00:33:42:06,00:33:46:00,山田1,でももっと細かい話とか具体的な話とかがあるっていうのが,,
,00:33:46:01,00:33:51:21,山田1,社会学者として言いたいところっていう感じですかね 逆に風向っぽいんですよ,,
,00:33:51:23,00:33:52:23,吉田1,,よく言われます,
,00:33:53:01,00:33:55:00,山田1,よく言われます。,,
,00:33:55:02,00:33:59:07,吉田1,,風向って静岡でもあるけれども歴史的な資料を使ってやってるし,
,00:33:59:09,00:34:00:06,山田1,ね。,,
,00:34:00:07,00:34:06:00,吉田1,,台とかも調査してるし、彼のそういった意味では関心手守備一貫してたと思うんですけど、,
,00:34:06:02,00:34:12:16,吉田1,,でも、風光っぽいというか、風光そのものを実証でやってるっていう意味では…,
,00:34:12:19,00:34:13:12,山田1,でも風光そのものを実証でやってるっていうか,,
,00:34:13:14,00:34:15:06,吉田1,,実証。,
,00:34:15:08,00:34:22:23,山田1,なんで風光を使わないのかって時々言われるんですけど そうですよね だからじゃないですか,,
,00:34:23:00,00:34:25:06,山田1,ちょっとやっぱりじゃあ今日帰ったら風光チラッともう一回見て,,
,00:34:25:08,00:34:29:17,山田1,風光ののをチラッと見て すいませんってもう一回再び出会おうかと思います風光に,,
,00:34:29:19,00:34:35:01,山田1,すいませんってもう一回再び出会おうかと思います風光に すごくその過去で言うと,,
,00:34:35:03,00:34:39:13,吉田1,,ここでいうと,
,00:34:39:15,00:34:51:16,吉田1,,何かどっかパラダイムが90年代2000年代にやっぱり変わったなっていう気がしていて つまりどういうことかというと それまでそういう政権力とか福祉国家もそうですけど 批判の対象だったんですよね,
,00:34:51:18,00:35:13:02,吉田1,,批判の対象だったんですよね 政治学では特に 個人の内面に手を突っ込んで そんな自己規律を働かせるのをけしかなみたいな感じだったんですけど 90年代、2000年代に入って やっぱりこれは経済的格差とか あるいは不平等とか,
,00:35:13:04,00:35:38:06,吉田1,,あるいは福祉国家そのものが衰退をしているという現状にあって むしろ擁護の対象になっていくんですよね それはどういうあり方がいいかというのは別なんですけれども もっと社会保障制度をしっかりしなきゃいけないじゃないか 人を守れるような制度を作らなきゃいけないじゃないか 人を守るといっても今までのような単に身体だけじゃなくて,
,00:35:38:08,00:36:01:11,吉田1,,ちゃんとそれこそケアですよね 精神的なケアもしなきゃいけないじゃないかという形で 徐々にむしろ今までそういった政権力なものが批判の対象だったのが より良く働かせようっていう感じで社会科学もそういう風になっていって,
